Sample	Family ID	Gender	Relationship
HG00444	SH014	male	child
HG00445	SH015	male	father
HG00446	SH015	female	mother
HG00447	SH015	female	child
HG00448	SH016	male	father
HG00449	SH016	female	mother
HG00450	SH016	female	child
HG00451	SH017	male	father
HG00452	SH017	female	mother
HG00453	SH017	female	child
HG00457	SH019	male	father
HG00458	SH019	female	mother
HG00459	SH019	male	child
HG00463	SH021	male	father
HG00464	SH021	female	mother
HG00465	SH021	male	child
HG00472	SH024	male	father
HG00473	SH024	female	mother
HG00474	SH024	male	child
HG00475	SH025	male	father
HG00476	SH025	female	mother
HG00477	SH025	male	child
HG00478	SH026	male	father
HG00479	SH026	female	mother
HG00480	SH026	male	child
HG00500	SH028	male	father
HG00501	SH028	female	mother
HG00502	SH028	male	child
HG00512	SH032	male	father
HG00513	SH032	female	mother
HG00514	SH032	female	child
HG00524	SH036	male	father
HG00525	SH036	female	mother
HG00526	SH036	male	child
HG00530	SH038	male	father
HG00531	SH038	female	mother
HG00532	SH038	male	child
HG00533	SH039	male	father
HG00534	SH039	female	mother
HG00535	SH039	male	child
HG00536	SH040	male	father
HG00537	SH040	female	mother
HG00538	SH040	male	child
HG00542	SH042	male	father
HG00543	SH042	female	mother
HG00544	SH042	female	child
HG00551	PR01	female	mother
HG00552	PR01	male	child
HG00553	PR02	male	father
HG00554	PR02	female	mother
HG00555	PR02	female	child
HG00556	SH045	male	father
HG00557	SH045	female	mother
HG00558	SH045	female	child
HG00559	SH046	male	father
HG00560	SH046	female	mother
HG00561	SH046	female	child
HG00565	SH048	male	father
HG00566	SH048	female	mother
HG00567	SH048	male	child
HG00577	SH052	male	father
HG00578	SH052	female	mother
HG00579	SH052	female	child
HG00580	SH053	male	father
HG00581	SH053	female	mother
HG00582	SH053	female	child
HG00583	SH054	male	father
HG00584	SH054	female	mother
HG00585	SH054	female	child
HG00589	SH056	male	father
HG00590	SH056	female	mother
HG00591	SH056	male	child
HG00592	SH057	male	father
HG00593	SH057	female	mother
HG00594	SH057	male	child
HG00595	SH058	male	father
HG00596	SH058	female	mother
HG00597	SH058	female	child
HG00598	SH059	male	father
HG00599	SH059	female	mother
HG00600	SH059	female	child
HG00607	SH062	male	father
HG00608	SH062	female	mother
HG00609	SH062	male	child
HG00610	SH063	male	father
HG00611	SH063	female	mother
HG00612	SH063	female	child
HG00613	SH064	male	father
HG00614	SH064	female	mother
HG00615	SH064	female	child
HG00619	SH066	male	father
HG00620	SH066	female	mother
HG00621	SH066	male	child
HG00622	SH067	male	father
HG00623	SH067	female	mother
HG00624	SH067	male	child
HG00625	SH068	male	father
HG00626	SH068	female	mother
HG00627	SH068	male	child
HG00628	SH069	male	father
HG00629	SH069	female	mother
HG00630	SH069	male	child
HG00631	SH070	male	father
HG00632	SH070	female	mother
HG00633	SH070	male	child
HG00634	SH071	male	father
HG00635	SH071	female	mother
HG00636	SH071	male	child
HG00637	PR03	male	father
HG00638	PR03	female	mother
HG00639	PR03	female	child
HG00640	PR04	male	father
HG00641	PR04	female	mother
HG00642	PR04	male	child
HG00650	SH072	male	father
HG00651	SH072	female	mother
HG00652	SH072	female	child
HG00653	SH073	male	father
HG00654	SH073	female	mother
HG00655	SH073	female	child
HG00656	SH074	male	father
HG00657	SH074	female	mother
HG00658	SH074	male	child
HG00662	SH076	male	father
HG00663	SH076	female	mother
HG00664	SH076	male	child
HG00671	SH079	male	father
HG00672	SH079	female	mother
HG00673	SH079	male	child
HG00674	SH080	male	father
HG00675	SH080	female	mother
HG00676	SH080	male	child
HG00683	SH083	male	father
HG00684	SH083	female	mother
HG00685	SH083	male	child
HG00689	SH085	male	father
HG00690	SH085	female	mother
HG00691	SH085	male	child
HG00692	SH086	male	father
HG00693	SH086	female	mother
HG00694	SH086	male	child
HG00698	SH088	male	father
HG00699	SH088	female	mother
HG00700	SH088	female	child
HG00701	SH089	male	father
HG00702	SH089	female	mother
HG00703	SH089	male	child
HG00704	SH090	male	father
HG00705	SH090	female	mother
HG00706	SH090	male	child
HG00707	SH091	male	father
HG00708	SH091	female	mother
HG00709	SH091	male	child
HG00716	SH094	male	father
HG00717	SH094	female	mother
HG00718	SH094	male	child
HG00728	SH098	male	father
HG00729	SH098	female	mother
HG00730	SH098	female	child
HG00731	PR05	male	father
HG00732	PR05	female	mother
HG00733	PR05	female	child
HG00734	PR06	female	mother
HG00735	PR06	female	child
HG00736	PR07	male	father
HG00737	PR07	female	mother
HG00738	PR07	male	child
HG00739	PR09	male	father
HG00740	PR09	female	mother
HG00741	PR09	female	child
HG00742	PR10	male	father
HG00743	PR10	female	mother
HG00759	HG00759	female	null
HG00766	HG00766	female	null
HG00844	HG00844	male	null
HG00851	HG00851	female	null
HG00864	HG00864	female	null
HG00866	CDX1	male	null
HG00867	CDX1	female	null
HG00879	HG00879	female	null
HG00881	HG00881	male	null
HG00956	HG00956	female	null
HG00978	HG00978	female	null
HG00982	HG00982	male	null
HG00983	HG00983	male	null
HG01028	HG01028	male	null
HG01029	HG01029	female	null
HG01031	HG01031	male	null
HG01046	HG01046	female	null
HG01047	PR06	male	father
HG01048	PR08	male	father
HG01049	PR08	female	mother
HG01050	PR08	female	child
HG01051	PR11	male	father
HG01052	PR11	female	mother
HG01053	PR11	female	child
HG01054	PR12	male	father
HG01055	PR12	female	mother
HG01056	PR12	male	child
HG01058	PR13	female	mother
HG01060	PR14	male	father
HG01061	PR14	female	mother
HG01062	PR14	female	child
HG01063	PR15	male	father
HG01064	PR15	female	mother
HG01066	PR16	male	father
HG01067	PR16	female	mother
HG01068	PR16	female	child
HG01069	PR17	male	father
HG01070	PR17	female	mother
HG01071	PR17	female	child
HG01072	PR18	male	father
HG01073	PR18	female	mother
HG01074	PR18	male	child
HG01075	PR01	male	father
HG01077	PR20	female	mother
HG01079	PR21	male	father
HG01080	PR21	female	mother
HG01081	PR21	female	child
HG01082	PR28	male	father
HG01083	PR28	female	mother
HG01084	PR28	female	child
HG01085	PR26	male	father
HG01086	PR26	female	mother
